hall_ticket_no,student_name,parent_name,parent_phone,maths1a,maths1b,physics1,chemistry1,maths2a,maths2b,physics2,chemistry2,ipe_total,eamcet_marks,final_score,rank_position
HTNO20250570,Theresa Fields,Tony Morgan,9728249127,44,34,53,58,73,71,41,39,413,128,79.12037037037037,232
HTNO20250227,Priscilla Townsend,Lisa Nelson,8393918840,61,62,50,57,70,66,45,42,453,124,79.09722222222223,233
HTNO20250024,Kelly Romero,Cindy Chaney,7646704703,57,39,35,59,73,32,55,52,402,129,79.07986111111111,234
HTNO20250410,Charles Gomez,Jennifer Chandler,7643779601,57,68,20,57,37,52,48,21,360,133,79.01041666666666,235
HTNO20250782,Jeffrey Gomez,Jennifer King,6506772574,34,46,52,38,65,74,26,45,380,131,78.9988425925926,236
HTNO20250801,Donna Brown,Amy Perez,9984102141,58,52,31,54,65,44,57,37,398,129,78.89467592592592,237
HTNO20250720,Abigail Hall,Joshua Schmidt,8312561672,64,69,35,29,71,39,55,45,407,128,78.8425925925926,238
HTNO20250215,Janet Barnes,Peter Cook,6785383918,50,47,39,51,31,75,55,59,407,128,78.8425925925926,239
HTNO20250704,Tiffany Anderson,Nicole Fields,8481716229,30,74,48,39,44,64,55,51,405,128,78.75,240
HTNO20250722,Michael Aguirre,Jason Martin,8758573077,69,45,45,21,30,38,45,49,342,134,78.64583333333333,241
HTNO20250860,Bryan Martinez,Brian Rose,8635573602,70,58,56,38,42,62,35,20,381,130,78.57638888888889,242
HTNO20250510,Jonathan Smith,Darren Long,9197352437,41,64,46,31,41,53,58,25,359,132,78.49537037037037,243
HTNO20250798,Margaret Miranda,Hannah Lopez,6820836166,52,35,50,40,64,57,49,52,399,128,78.47222222222223,244
HTNO20250610,Grant Bond,Suzanne Patel,9132192237,60,54,33,56,41,75,40,49,408,127,78.42013888888889,245
HTNO20250184,Adam Turner,Brittany Gross,6333673643,63,49,49,42,36,39,60,39,377,130,78.39120370370371,246
HTNO20250525,Lacey Thompson,Connie Chase,8427871996,72,71,24,27,59,42,38,52,385,129,78.29282407407408,247
HTNO20250913,James Mendez,Russell Bruce,6964559170,43,43,41,47,32,54,40,24,324,135,78.28125,248
HTNO20250685,Jasmine Anderson,Madeline Medina,6414204115,47,35,56,51,57,64,32,42,384,129,78.24652777777777,249
HTNO20250537,Vicki Clark,Kim Villarreal,9482311292,51,62,48,26,46,43,47,60,383,129,78.20023148148148,250
HTNO20250817,Adrian Vega,Richard Peters,8046000737,62,74,30,53,73,54,42,34,422,125,78.13078703703704,251
HTNO20250888,Jean Johnson,James Williams,7912159640,60,53,50,41,34,65,31,37,371,130,78.11342592592592,252
HTNO20250815,Barbara Richards,Cassandra Carrillo,8780708523,38,32,51,48,46,39,49,57,360,131,78.07291666666666,253
HTNO20250453,Denise Smith,Jamie Greene,9877461477,42,41,27,56,65,71,40,58,400,127,78.04976851851852,254
HTNO20250497,Andrew Harrison,Christina Grant,7724669563,30,69,52,37,64,70,39,59,420,125,78.03819444444444,255
HTNO20250143,Julie Morton,Jennifer Fry,6738336183,69,73,32,49,35,40,35,22,355,131,77.84143518518519,256
HTNO20250059,David Curtis,Sarah Dyer,7273316791,72,40,39,49,63,64,20,38,385,128,77.82407407407408,257
HTNO20250847,Faith Jones,Shane Morse,8649697707,74,47,45,50,70,73,21,35,415,125,77.80671296296296,258
HTNO20250258,Robert Young,Barbara Boyer,7766376677,37,64,48,25,65,67,52,26,384,128,77.77777777777777,259
HTNO20250538,Tara Graves,Joel Kelley,6333885987,43,48,36,41,63,47,20,23,321,134,77.67361111111111,260
HTNO20250422,Shaun Walker,Mr. Charles Johnson,8935816190,75,42,57,21,32,34,49,30,340,132,77.61574074074073,261
HTNO20250018,Joseph Moore,Erica Jones,7971695748,52,54,57,50,56,31,60,48,408,125,77.48263888888889,262
HTNO20250361,Sabrina Ray,Mitchell Kramer,8060339752,33,35,29,26,43,35,31,23,255,140,77.43055555555556,263
HTNO20250597,Susan Snyder,Elaine Rodriguez,8919919851,35,74,49,56,55,46,37,43,395,126,77.34953703703704,264
HTNO20250630,Andrew Dawson,Anthony Hampton,8107404465,68,44,29,46,30,43,37,27,324,133,77.34375,265
HTNO20250045,Steven Olson,Michael Anderson,9516362399,57,71,57,42,67,70,51,20,435,122,77.32638888888889,266
HTNO20250262,Mary Turner,Melissa King,6454719024,57,68,53,32,53,39,47,24,373,128,77.26851851851852,267
HTNO20250130,Shawn Pitts,Grant Schaefer,7806179763,40,37,20,45,43,71,41,45,342,131,77.23958333333333,268
HTNO20250757,Ashley Vazquez,Rose Harvey,9555846503,38,73,23,57,52,71,58,20,392,126,77.21064814814815,269
HTNO20250691,Kevin Knight,Daniel Davis,9987783516,39,73,41,55,33,42,26,30,339,131,77.10069444444444,270
HTNO20250951,Daniel Harmon,Michelle Perry,6809174093,72,58,48,23,33,45,41,29,349,130,77.0949074074074,271
HTNO20250555,Timothy Nguyen,Laura Hill,7928786518,65,30,44,39,73,46,41,51,389,126,77.07175925925927,272
HTNO20250053,Amy Brewer,Rachel Morales,8302424166,45,53,55,35,58,69,40,54,409,124,77.06018518518519,273
HTNO20250990,Jesse Mendoza,Whitney Ward,8829468263,53,30,44,24,73,60,26,48,358,129,77.04282407407408,274
HTNO20250486,Mario Gomez,Margaret Gray,7923432347,43,50,30,32,32,35,47,36,305,134,76.93287037037037,275
HTNO20250874,William Brandt,Sheila Hall,6138945701,31,44,48,43,72,67,33,36,374,127,76.84606481481481,276
HTNO20250731,Joseph Woods,Lauren Hubbard,6559469333,50,46,52,36,57,69,39,45,394,125,76.83449074074073,277
HTNO20250291,Michelle Cole,Anthony Hill,8748788681,61,37,25,42,33,41,21,32,292,135,76.79976851851852,278
HTNO20250312,Michael Parker,Ryan Curtis,8371688615,51,74,43,21,43,33,50,47,362,128,76.75925925925927,279
HTNO20250640,Theresa Thompson,Mark Hayes,8994071739,54,57,56,56,48,63,40,57,431,121,76.6724537037037,280
HTNO20250890,Amanda Thomas,Mrs. Autumn Watkins,6655511798,42,55,25,24,69,42,35,57,349,129,76.6261574074074,281
HTNO20250556,Rebecca Odom,Nicholas Watson,6381581040,35,53,22,48,44,55,37,53,347,129,76.53356481481481,282
HTNO20250528,William Hess,Traci Henry,8237855766,56,56,24,28,50,38,51,33,336,130,76.49305555555556,283
HTNO20250212,Thomas Rodriguez,Kevin Monroe,7150533384,58,64,23,46,30,49,59,57,386,125,76.46412037037037,284
HTNO20250248,Jerry Haynes,Wendy Hill,6999371834,72,66,49,57,60,60,42,40,446,119,76.42939814814815,285
HTNO20250714,Carolyn Levy,Laura Burton,6106353007,41,68,52,37,39,59,42,27,365,127,76.42939814814815,286
HTNO20250805,Donald Scott,Joel Mendez,9301990734,63,74,35,42,51,43,45,30,383,125,76.32523148148148,287
HTNO20250694,Robert Wilson,Emily Clark,6363385618,44,70,55,38,50,70,44,52,423,121,76.30208333333333,288
HTNO20250047,David Armstrong,Nicholas Berry,7446408872,42,63,59,30,59,71,37,51,412,122,76.26157407407408,289
HTNO20250127,Kristine Christensen,James Ramirez,6706988122,68,66,32,28,33,53,33,58,371,126,76.23842592592592,290
HTNO20250789,Joseph George,Ryan Roy,8873467750,53,55,30,56,69,64,26,28,381,125,76.23263888888889,291
HTNO20250995,Ashley Bell,Cynthia Anderson,8865548580,52,42,45,25,39,51,52,42,348,128,76.11111111111111,292
HTNO20250282,Kevin Perez,Jeffrey Brown,9946812350,65,38,33,21,44,59,45,53,358,127,76.10532407407408,293
HTNO20250698,Sarah Tate,James Smith,7618298059,38,44,33,48,40,53,24,57,337,129,76.07060185185185,294
HTNO20250591,Brandy Hernandez,Robert Ayala,9807145866,55,67,35,21,40,44,47,58,367,126,76.05324074074073,295
HTNO20250934,Daniel King,Brianna Garcia,6608238735,75,32,47,27,41,36,21,34,313,131,75.89699074074073,296
HTNO20250450,Melissa Chambers,Victoria Johnson,6183722578,57,69,22,27,42,47,52,36,352,127,75.8275462962963,297
HTNO20250043,John Lee,Kimberly Chapman,8187765175,33,53,42,31,50,38,35,48,330,129,75.74652777777777,298
HTNO20250680,Mr. Robert Perez,David Burke,9665461018,58,32,21,22,43,42,50,40,308,131,75.66550925925927,299
HTNO20250571,Nicholas Hall,Savannah Bryant,8914042899,49,74,58,20,72,48,51,24,396,122,75.52083333333333,300
HTNO20250863,Dean Alvarez,Morgan Tucker,7100732031,73,55,37,38,55,63,33,41,395,122,75.47453703703704,301
HTNO20250089,Susan Johnson,Gregory Gomez,7946125636,58,44,59,59,74,44,48,59,445,117,75.44560185185185,302
HTNO20250081,Mario Bruce,Darren Castro,6039707520,56,55,37,23,66,66,32,38,373,124,75.39351851851852,303
HTNO20250221,John Barnett,Hayley Tapia,9218719384,71,36,35,28,44,32,34,52,332,128,75.37037037037037,304
HTNO20250086,Richard Taylor,Andrew Herman,7474100684,59,55,23,27,31,67,21,59,342,127,75.36458333333333,305
HTNO20250276,Corey Jenkins,Christine Lee,7552759565,42,72,55,44,69,47,46,48,423,119,75.36458333333333,306
HTNO20250902,Stephanie Cox,Keith Mcconnell,8010848548,34,56,60,24,45,54,32,46,351,126,75.3125,307
HTNO20250702,Elizabeth Castillo,Paul Moore,7821411173,44,53,29,26,71,67,49,31,370,124,75.25462962962963,308
HTNO20250773,Jasmine Trevino,Brent Kelley,7664274185,42,41,47,48,70,69,53,39,409,120,75.18518518518519,309
HTNO20250921,Sharon Hernandez,Erin Glass,7424459767,41,68,35,33,73,75,42,40,407,120,75.0925925925926,310
HTNO20250788,Michael Ray,Christopher Kim,7747168093,73,59,31,20,46,55,39,22,345,126,75.03472222222223,311
HTNO20250735,James Gonzalez,Mr. Jerome Wright,8814293796,63,56,26,27,43,58,20,41,334,127,74.99421296296296,312
HTNO20250026,Veronica Pierce,Jonathan Thompson,7581090759,65,73,44,44,69,53,47,40,435,117,74.98263888888889,313
HTNO20250586,Justin Carr,Cindy Marquez,6723725548,44,51,36,25,65,60,40,43,364,124,74.97685185185185,314
HTNO20250027,Juan Gallegos,Richard Anderson,9002655046,72,63,53,29,46,33,41,37,374,123,74.97106481481481,315
HTNO20250095,Sara Frank,Wendy Day,7403857238,57,66,60,41,58,57,27,48,414,119,74.94791666666667,316
HTNO20250809,Mr. Clinton Andrews,Michael Howell,8065986490,31,70,50,46,55,66,47,38,403,120,74.9074074074074,317
HTNO20250246,Megan Miller,Seth Chavez,7304834268,55,32,26,24,32,53,47,22,291,131,74.87847222222223,318
HTNO20250155,Carl Jackson,Mark Vasquez,6609341660,63,70,25,52,46,43,57,36,392,121,74.86689814814815,319
HTNO20250521,Alice Parker,Carrie Liu,9957218067,39,57,56,52,73,58,35,21,391,121,74.82060185185185,320
HTNO20250041,Anthony Castaneda,Mary Smith,9304917684,46,35,53,47,73,57,28,41,380,122,74.7800925925926,321
HTNO20250189,Peter Hunter,Benjamin Barnes,8473158558,38,52,57,52,75,60,51,33,418,118,74.66435185185185,322
HTNO20250488,Patricia Carlson,Ralph Wagner,8928230472,66,49,55,50,36,34,22,35,347,125,74.65856481481481,323
HTNO20250200,Tracy Choi,Steven Owen,6102122973,73,36,56,47,67,67,52,34,432,116,74.375,324
HTNO20250818,Jose Hunter,Brandi Miles,7008773668,43,43,53,52,53,60,57,40,401,119,74.34606481481481,325
HTNO20250285,Jeffrey Gomez,Devon Miller,8329931522,30,65,25,41,70,75,35,22,363,122,73.99305555555556,326
HTNO20250416,Craig Wilkinson,Carlos Lozano,9884599012,74,40,27,35,53,35,50,28,342,124,73.95833333333333,327
HTNO20250949,Andrew Mckinney,Justin Beck,8067573624,66,68,37,38,45,37,28,23,342,124,73.95833333333333,328
HTNO20250693,Jason Oliver,Julia Sutton,6428459488,73,53,45,37,58,71,55,30,422,116,73.91203703703704,329
HTNO20250208,Michael Sanford,James Scott,8929310205,59,74,22,20,66,34,41,44,360,122,73.85416666666666,330
HTNO20250466,Nicholas Graves,Mr. David Collins,7653596396,35,49,22,59,58,46,33,46,348,123,73.76736111111111,331
HTNO20250002,Michael Cox,Jonathon Waters,6582240173,46,61,49,52,33,47,37,22,347,123,73.72106481481481,332
HTNO20250346,Elizabeth Jimenez,Amanda Edwards,8363642416,39,68,35,24,54,54,59,22,355,122,73.62268518518519,333
HTNO20250721,Mckenzie Lambert,Michael Patrick,9950155408,74,64,46,55,63,50,32,40,424,115,73.53587962962963,334
HTNO20250621,Katherine Hopkins,Candace Kane,6903235134,42,51,24,29,39,39,23,55,302,127,73.51273148148148,335
HTNO20250833,Jay Miller,Carol Schmidt,9387109973,74,72,48,58,74,38,54,25,443,113,73.47800925925927,336
HTNO20250118,Jason Shaw,Joshua Gregory,8874333521,52,46,34,56,59,40,32,30,349,122,73.3449074074074,337
HTNO20250050,Thomas Harris,Donald Casey,7818985123,44,45,37,29,39,64,31,49,338,123,73.30439814814815,338
HTNO20250692,Krista Giles,Jessica Miller,8351095301,70,75,22,36,74,62,60,40,439,113,73.29282407407408,339
HTNO20250930,Samantha Payne,Gabrielle Rodgers,7575066108,73,69,46,23,58,45,20,52,386,118,73.18287037037037,340
HTNO20250914,Benjamin Walker,Whitney Cruz,8600275970,64,36,48,46,37,66,41,48,386,118,73.18287037037037,341
HTNO20250885,Zachary Turner,Margaret Williams,9473153811,64,50,29,35,59,37,53,54,381,118,72.95138888888889,342
HTNO20250711,Lindsay Carpenter,Kenneth Benitez,8542841436,35,73,34,38,47,52,41,30,350,121,72.9224537037037,343
HTNO20250743,Teresa Butler,Leslie Johnson,7255946013,52,72,22,51,45,52,41,24,359,120,72.87037037037037,344
HTNO20250145,Jonathan Duncan,Jason Jackson,6319694447,66,36,54,58,45,53,34,52,398,116,72.80092592592592,345
HTNO20250133,Jeffrey Sparks,Leah Thompson,7019737470,58,56,27,28,63,46,55,43,376,118,72.7199074074074,346
HTNO20250511,Mark Leonard,Joyce Hernandez,9015264869,31,63,26,46,67,62,49,60,404,115,72.6099537037037,347
HTNO20250214,Lisa Reed,Scott Hensley,7696612221,75,50,56,50,68,52,44,49,444,111,72.58680555555556,348
HTNO20250803,Cynthia Snow,David Thompson,6375542296,34,49,54,27,45,45,33,45,332,122,72.55787037037037,349
HTNO20250557,Katelyn Bell,Jacob Daugherty,7159332256,40,37,20,44,35,53,59,33,321,123,72.51736111111111,350
HTNO20250677,Kristin Le,Willie Long,7837747018,75,68,43,34,50,34,53,22,379,117,72.3900462962963,351
HTNO20250695,Natasha Knight,Hannah Kennedy,9466809414,46,60,58,27,55,44,59,50,399,115,72.37847222222223,352
HTNO20250357,Emily Nguyen,William Harris,9835505914,62,70,51,24,47,64,39,31,388,116,72.33796296296296,353
HTNO20250656,Jennifer Hanson,Susan Smith,7367959010,35,60,59,20,35,57,22,38,326,122,72.2800925925926,354
HTNO20250507,Brenda Salinas,Amanda Moore,7261830228,38,42,38,54,61,69,48,46,396,115,72.23958333333333,355
HTNO20250160,Brady Palmer,Cristian Smith,9356596641,42,72,32,47,65,66,37,43,404,114,72.1412037037037,356
HTNO20250599,Austin Perkins,Sharon Mcknight,7150384733,50,61,45,53,47,59,34,32,381,116,72.01388888888889,357
HTNO20250051,Michael Walker,Amanda Whitehead,9200695500,54,64,30,40,67,41,41,44,381,116,72.01388888888889,358
HTNO20250546,James Dunlap,Justin Young,8203461736,30,57,28,45,68,57,43,50,378,116,71.875,359
HTNO20250503,Amy Burns,Victoria Downs,9187854943,38,44,51,47,34,51,36,55,356,118,71.79398148148148,360
HTNO20250186,Scott Becker,Joyce Perez,6960764760,54,66,34,25,70,50,40,26,365,117,71.74189814814815,361
HTNO20250565,Taylor Carter,David Kent,8298097374,48,43,35,43,71,66,22,47,375,116,71.73611111111111,362
HTNO20250324,Mr. Andre Hoffman,Sarah Thompson,7879011473,49,42,33,44,72,54,42,58,394,114,71.67824074074073,363
HTNO20250974,Dakota Wallace,Robert Smith,7905535481,50,72,22,24,67,67,56,45,403,113,71.6261574074074,364
HTNO20250464,John Day,Catherine Smith,7793023497,42,31,59,38,55,50,50,26,351,118,71.5625,365
HTNO20250084,Johnny Powell,Cheryl Dickerson,6517709150,73,67,29,25,73,46,54,54,421,111,71.52199074074073,366
HTNO20250484,Sean Arellano,Jason Smith,6860989417,68,60,32,36,69,31,23,40,359,117,71.46412037037037,367
HTNO20250620,Kelly Estrada,Daniel Bates,6850481844,66,48,22,35,47,71,47,31,367,116,71.36574074074073,368
HTNO20250056,Melinda Jones,Sandra Warren,8424844684,58,55,59,40,68,49,49,49,427,110,71.33101851851852,369
HTNO20250959,Stephen Martin,Katherine Sandoval,7853508157,33,60,37,60,41,54,49,32,366,116,71.31944444444444,370
HTNO20250341,Melissa Lester,Justin Mcdaniel,6333019331,39,36,32,31,54,42,32,49,315,121,71.30208333333333,371
HTNO20250639,Russell Moreno,Matthew Martin,7704463395,49,39,37,43,51,42,40,34,335,119,71.29050925925927,372
HTNO20250784,Douglas Brock,Tammy Spence,7187651712,65,55,45,48,48,56,27,41,385,114,71.26157407407408,373
HTNO20250964,Shane Morgan,James Long,9504931700,39,44,42,24,41,39,26,49,304,122,71.26157407407408,374
HTNO20250987,Elizabeth Morales,John Smith,7004597840,50,42,34,33,56,71,50,38,374,115,71.22106481481481,375
HTNO20250204,Shannon Castro,Amber Hall,6062798963,42,32,54,37,53,48,32,34,332,119,71.15162037037037,376
HTNO20250278,Adam James,Jason Campbell,7935119642,65,30,43,37,46,46,45,30,342,118,71.14583333333333,377
HTNO20250986,Matthew Gray,James Wilson,7421846490,39,36,50,21,54,72,49,51,372,115,71.12847222222223,378
HTNO20250657,Sheena Warren,Charlene Williams,9604914653,50,49,51,30,35,39,59,37,350,117,71.0474537037037,379
HTNO20250367,Luis Grant,Tammy Gill,6781280830,39,34,36,56,31,74,55,35,360,116,71.04166666666666,380
HTNO20250355,Stephen Johnston,James Peterson,6343129811,37,61,21,48,47,72,47,37,370,115,71.03587962962963,381
HTNO20250073,Adriana Houston,John Lowery,7425142704,49,65,60,36,75,37,57,51,430,109,71.0011574074074,382
HTNO20250911,James Figueroa,Matthew Lopez,6026684342,47,67,42,30,40,56,28,28,338,118,70.96064814814815,383
HTNO20250163,Stephen Richard,Paul Perez,7939643159,44,30,37,59,61,33,58,42,364,115,70.75810185185185,384
HTNO20250545,Tara Sutton,Julie Livingston,6938685465,34,55,23,56,60,61,55,30,374,114,70.75231481481481,385
HTNO20250732,Jennifer Scott,Heather Watts,8021417263,39,61,34,31,40,40,41,45,331,118,70.63657407407408,386
HTNO20250066,Anna Leonard,Carrie Spencer,8432533001,60,65,30,53,73,61,35,53,430,108,70.5324074074074,387
HTNO20250425,Miranda Thomas,Stephen Barton,9055003149,58,31,31,30,67,61,41,28,347,116,70.43981481481481,388
HTNO20250470,Bradley Lambert,Todd Kirk,8720683703,62,37,43,27,51,38,27,20,305,120,70.37037037037037,389
HTNO20250203,Michael Phillips,Michael Johnston,8251729876,31,70,53,58,58,67,52,56,445,106,70.28935185185185,390
HTNO20250790,Timothy Anderson,Kevin Dominguez DVM,9416186125,33,59,48,32,67,74,31,49,393,111,70.22569444444444,391
HTNO20250713,Justin Thomas,Gregory Wilson,9446924334,31,57,50,44,37,32,27,33,311,119,70.17939814814815,392
HTNO20250971,Peter Rivera,Christopher Nelson,6847105961,45,52,53,23,58,56,52,49,388,111,69.99421296296296,393
HTNO20250563,Charlene Joseph,Robert Lee,6556198564,47,46,26,23,60,58,28,37,325,117,69.89004629629629,394
HTNO20250491,Lisa Monroe,Brenda Wilson,6454235909,73,58,51,53,71,53,58,37,454,104,69.76851851851852,395
HTNO20250504,Nathan Nichols,Morgan Barrett,6714411201,67,65,20,38,59,60,51,21,381,111,69.67013888888889,396
HTNO20250080,Kristen Hart,Samuel Suarez,9482873409,43,65,30,60,57,35,41,26,357,113,69.49652777777777,397
HTNO20250841,Lori Martinez,Matthew Miller,7738058335,56,34,60,27,75,66,30,59,407,108,69.4675925925926,398
HTNO20250033,Marie Page,Mr. Chris Lynch DDS,6931452303,67,69,42,54,47,58,32,47,416,107,69.41550925925927,399
HTNO20250700,Stephanie Moore,Regina Huff,6274628555,43,36,53,46,31,50,30,46,335,115,69.41550925925927,400
HTNO20250010,Mrs. Carrie Jimenez PhD,Laura Solis,9758070528,37,34,36,35,50,62,36,53,343,114,69.31712962962963,401
HTNO20250564,Barry Orozco,Sharon Hanson,6207912988,56,50,42,23,70,33,59,28,361,112,69.21296296296296,402
HTNO20250032,Meghan Howard,Sarah Pace,9291315642,67,55,34,33,66,67,39,60,421,106,69.17824074074073,403
HTNO20250623,Lauren Horton,Kenneth Wilcox,7872776616,75,74,29,43,68,71,59,22,441,104,69.16666666666667,404
HTNO20250926,Caitlin Garner,Jane Smith,7334893411,52,31,44,55,62,62,57,47,410,107,69.13773148148148,405
HTNO20250946,William Blair,Heather Preston,9815315189,36,47,33,50,42,68,21,29,326,115,68.9988425925926,406
HTNO20250070,Kara Young,John King,7450816928,61,47,34,20,48,42,37,35,324,115,68.90625,407
HTNO20250707,Victor Thomas,Jennifer Wong,8619218007,61,42,57,48,31,57,58,60,414,106,68.85416666666667,408
HTNO20250598,Renee Jackson,Christopher Flores,7543736469,33,64,20,23,45,68,57,39,349,112,68.6574074074074,409
HTNO20250495,Terry Mcguire,Katie Fields,9739024715,74,71,42,41,55,75,23,37,418,105,68.57060185185185,410
HTNO20250791,Erika Young,Michael Carr,6008732579,43,56,38,39,43,48,43,25,335,113,68.47800925925927,411
HTNO20250772,Stephanie Carter,Erin Henson,7265697983,33,34,52,44,42,42,56,31,334,113,68.43171296296296,412
HTNO20250382,Mark Jimenez,Brian Gonzalez,9763381133,70,36,55,54,30,41,27,48,361,110,68.27546296296296,413
HTNO20250629,Pamela Schneider MD,Kevin Parker,6944830009,53,30,51,20,74,73,35,35,371,109,68.26967592592592,414
HTNO20250853,Omar Clarke,Thomas Carpenter,9449259481,47,53,44,59,74,43,31,60,411,105,68.24652777777777,415
HTNO20250121,Lynn Melendez,Miranda Herrera,9053799192,53,30,24,32,61,68,48,54,370,109,68.22337962962963,416
HTNO20250740,Joann Lynn,Chad Morrison,8336229888,62,40,49,39,30,71,39,28,358,110,68.13657407407408,417
HTNO20250340,Jessica Mclaughlin,Dennis Blackwell,7830121962,71,46,51,39,35,56,25,24,347,111,68.09606481481481,418
HTNO20250028,Katelyn Cox,Stacy Harmon,8746356030,53,43,48,44,75,44,21,37,365,109,67.99189814814815,419
HTNO20250825,Gregory Byrd,Teresa Daniels,9143491919,38,49,43,50,69,71,58,37,415,104,67.96296296296296,420
HTNO20250339,Eileen Scott,Shannon Williams,9224667044,45,73,22,49,33,58,59,54,393,106,67.88194444444444,421
HTNO20250679,Scott Rodriguez,Richard Hernandez,8921544113,53,71,44,38,64,75,30,48,423,103,67.86458333333333,422
HTNO20250933,Kristy Robinson,Marie Ferguson,9365500653,52,38,23,21,46,69,21,41,311,114,67.83564814814815,423
HTNO20250058,Chad Jones,Chelsea Harmon,8967852020,46,30,39,23,43,48,28,39,296,115,67.60995370370371,424
HTNO20250255,Roger Torres,Zachary Lopez,7390466840,74,70,40,35,51,49,43,35,397,105,67.59837962962963,425
HTNO20250529,Richard White,Timothy Clarke,7583031363,58,72,39,38,49,58,38,41,393,105,67.41319444444444,426
HTNO20250968,Tyler Garrett,Carl Wood,9977839432,75,49,35,29,59,52,24,46,369,107,67.23958333333333,427
HTNO20250137,Laura Patel,Ronald Morales,6725403647,61,72,40,44,70,69,55,38,449,99,67.19328703703704,428
HTNO20250279,Linda Little,Rachel Brooks,8717261430,36,45,38,52,51,59,40,34,355,108,67.06018518518519,429
HTNO20250097,Amy Edwards MD,William Fields,6279112163,50,67,60,26,34,70,24,44,375,106,67.04861111111111,430
HTNO20250754,Ana Edwards,Tracy Shannon,8630817792,57,42,20,38,37,47,44,39,324,111,67.03125,431
HTNO20250452,Valerie Hendrix,Angela Oneill,6436896511,43,74,22,32,74,50,41,57,393,104,66.94444444444444,432
HTNO20250268,Victor Nelson,Peter Meyers,8008897263,55,48,34,45,33,53,22,42,332,110,66.93287037037037,433
HTNO20250025,Amy Rodriguez,John Murray,6142329089,51,62,40,55,65,35,42,22,372,106,66.90972222222223,434
HTNO20250451,Mary Larsen,Angela Weber,8232198790,47,34,59,37,40,57,37,20,331,110,66.88657407407408,435
HTNO20250828,Brian Steele,Patricia Scott,6685121387,30,62,20,38,50,50,30,30,310,112,66.85185185185185,436
HTNO20250412,Carl Thomas,Amy Nguyen,6485976815,61,73,26,45,40,67,30,49,391,104,66.85185185185185,437
HTNO20250019,Kevin Collins,Brian Marsh,7466285978,48,70,36,32,64,64,30,26,370,106,66.81712962962963,438
HTNO20250780,Brandon Brown II,Peter Turner,6598815839,39,66,28,60,75,72,23,27,390,104,66.80555555555556,439
HTNO20250336,Hector Clark Jr.,Christopher Bates,9884967487,34,42,40,58,61,68,47,60,410,102,66.79398148148148,440
HTNO20250404,Edward Harrington,Emma Hill,6046038573,43,48,27,20,34,48,25,52,297,113,66.71875,441
HTNO20250469,Julie Allen,Ashley Young,8210836275,39,64,55,46,63,48,51,41,407,102,66.6550925925926,442
HTNO20250009,Jessica Williams DVM,Vickie Bryant,8348186213,46,65,22,45,60,32,33,43,346,108,66.64351851851852,443
HTNO20250535,Thomas Salazar,Amy Parker,6723354151,66,57,58,47,56,37,44,31,396,103,66.61458333333333,444
HTNO20250365,Aimee Odonnell,Brandon Martin,9886439032,39,57,34,37,69,63,43,33,375,105,66.57986111111111,445
HTNO20250334,Thomas Salazar,Robert Chang,7556748489,61,68,37,33,69,36,57,23,384,104,66.52777777777777,446
HTNO20250239,Jeffrey Watson,Jared Meza,9220043489,62,66,28,59,52,40,49,28,384,104,66.52777777777777,447
HTNO20250260,Mr. Aaron Kim,Linda Nelson,8495618257,68,46,55,31,45,61,49,49,404,102,66.5162037037037,448
HTNO20250392,Jenna Lynch,Lisa Garcia,9330055164,67,62,22,23,46,50,29,42,341,108,66.41203703703704,449
HTNO20250415,Michelle Greene,Dawn Snyder,6501653772,55,65,30,48,37,64,44,58,401,102,66.37731481481481,450
HTNO20250750,Christopher Torres,Karen Preston,9187748096,51,62,49,36,32,31,50,29,340,108,66.36574074074073,451
HTNO20250659,Russell Arnold,Walter Klein,7762761081,58,55,39,58,52,49,27,42,380,104,66.3425925925926,452
HTNO20250683,Mr. David Hendricks,Troy Gutierrez,9123604650,59,65,49,32,41,44,57,43,390,103,66.33680555555556,453
HTNO20250299,Michael Douglas,Erin Hensley,7145917711,72,35,60,56,43,50,50,22,388,103,66.24421296296296,454
HTNO20250399,Julian Campbell,Amy Sherman,8500514008,46,56,35,57,32,42,52,45,365,105,66.11689814814815,455
HTNO20250292,Austin Pratt,Molly Caldwell,6943603813,60,60,60,42,48,62,57,56,445,97,66.07060185185185,456
HTNO20250039,Lisa Bryant,Traci Allen,7741299657,60,57,52,31,45,41,38,39,363,105,66.02430555555556,457
HTNO20250485,Mary Wilson,Andrew Mullen,8585293710,72,34,50,44,63,58,44,28,393,102,66.00694444444444,458
HTNO20250310,Allen Armstrong,Julie Hubbard,8865318257,68,33,25,23,56,34,41,57,337,107,65.75810185185185,459
HTNO20250240,Brian Williams,Rebecca Good,9071612318,61,47,48,53,71,62,35,39,416,99,65.66550925925927,460
HTNO20250401,Zachary Moody,Nicole Garner,9096044019,59,62,41,42,39,30,51,29,353,105,65.5613425925926,461
HTNO20250893,James White,Elizabeth Reyes,6492450020,48,50,53,29,35,46,36,55,352,105,65.5150462962963,462
HTNO20250114,Stephanie White,Lauren Maldonado,7533072255,33,65,23,54,62,59,55,41,392,101,65.49189814814815,463
HTNO20250156,Jennifer Colon,Tamara Harris,7098491811,74,45,49,29,36,48,44,56,381,102,65.45138888888889,464
HTNO20250218,Jeffrey Golden,Michael Richardson,7061656417,68,65,36,26,56,61,59,20,391,101,65.44560185185185,465
